instrument_id,ticker,name,asset_class,etf_style,specialized_score,is_etf,verification_source
78462F103,SPY,State Street SPDR S&P 500 ETF Trust,equity,broad,0,true,https://www.ssga.com/us/en/intermediary/etfs/state-street-spdr-sp-500-etf-trust-spy
464287200,IVV,iShares Core S&P 500 ETF,equity,broad,0,true,https://www.ishares.com/us/products/239726/ishares-core-sp-500-etf
922908363,VOO,Vanguard S&P 500 ETF,equity,broad,0,true,https://investor.vanguard.com/investment-products/etfs/profile/voo
922908769,VTI,Vanguard Total Stock Market ETF,equity,broad,0,true,https://investor.vanguard.com/investment-products/etfs/profile/vti
46090E103,QQQ,Invesco QQQ Trust,equity,broad,0,true,https://www.invesco.com/us/financial-products/etfs/product-detail?productId=QQQ
464287655,IWM,iShares Russell 2000 ETF,equity,broad,0,true,https://www.ishares.com/us/products/239710/ishares-russell-2000-etf
464287507,IJH,iShares Core S&P Mid-Cap ETF,equity,broad,0,true,https://www.ishares.com/us/products/239763/ishares-core-sp-midcap-etf
464287804,IJR,iShares Core S&P Small-Cap ETF,equity,broad,0,true,https://www.ishares.com/us/products/239774/ishares-core-sp-smallcap-etf
464287465,EFA,iShares MSCI EAFE ETF,equity,broad,0,true,https://www.ishares.com/us/products/239623/ishares-msci-eafe-etf
464287234,EEM,iShares MSCI Emerging Markets ETF,equity,broad,0,true,https://www.ishares.com/us/products/239637/ishares-msci-emerging-markets-etf
921943858,VEA,Vanguard FTSE Developed Markets ETF,equity,broad,0,true,https://investor.vanguard.com/investment-products/etfs/profile/vea
922042858,VWO,Vanguard FTSE Emerging Markets ETF,equity,broad,0,true,https://investor.vanguard.com/investment-products/etfs/profile/vwo
922908736,VUG,Vanguard Growth ETF,equity,broad,0,true,https://investor.vanguard.com/investment-products/etfs/profile/vug
922908744,VTV,Vanguard Value ETF,equity,broad,0,true,https://investor.vanguard.com/investment-products/etfs/profile/vtv
46137V357,RSP,Invesco S&P 500 Equal Weight ETF,equity,broad,0,true,https://www.invesco.com/us/financial-products/etfs/product-detail?productId=RSP
78467Y107,MDY,SPDR S&P MidCap 400 ETF Trust,equity,broad,0,true,https://www.ssga.com/us/en/intermediary/etfs/spdr-sp-midcap-400-etf-trust-mdy
78467X109,DIA,SPDR Dow Jones Industrial Average ETF Trust,equity,broad,0,true,https://www.ssga.com/us/en/intermediary/etfs/spdr-dow-jones-industrial-average-etf-trust-dia
81369Y100,XLB,Materials Select Sector SPDR Fund,equity,sector,1,true,https://www.ssga.com/us/en/intermediary/etfs/the-materials-select-sector-spdr-fund-xlb
81369Y209,XLV,Health Care Select Sector SPDR Fund,equity,sector,1,true,https://www.ssga.com/us/en/intermediary/etfs/the-health-care-select-sector-spdr-fund-xlv
81369Y308,XLP,Consumer Staples Select Sector SPDR Fund,equity,sector,1,true,https://www.ssga.com/us/en/intermediary/etfs/the-consumer-staples-select-sector-spdr-fund-xlp
81369Y407,XLY,Consumer Discretionary Select Sector SPDR Fund,equity,sector,1,true,https://www.ssga.com/us/en/intermediary/etfs/the-consumer-discretionary-select-sector-spdr-fund-xly
81369Y506,XLE,Energy Select Sector SPDR Fund,equity,sector,1,true,https://www.ssga.com/us/en/intermediary/etfs/the-energy-select-sector-spdr-fund-xle
81369Y605,XLF,Financial Select Sector SPDR Fund,equity,sector,1,true,https://www.ssga.com/us/en/intermediary/etfs/the-financial-select-sector-spdr-fund-xlf
81369Y704,XLI,Industrial Select Sector SPDR Fund,equity,sector,1,true,https://www.ssga.com/us/en/intermediary/etfs/the-industrial-select-sector-spdr-fund-xli
81369Y803,XLK,Technology Select Sector SPDR Fund,equity,sector,1,true,https://www.ssga.com/us/en/intermediary/etfs/the-technology-select-sector-spdr-fund-xlk
81369Y886,XLU,Utilities Select Sector SPDR Fund,equity,sector,1,true,https://www.ssga.com/us/en/intermediary/etfs/the-utilities-select-sector-spdr-fund-xlu
464287226,AGG,iShares Core U.S. Aggregate Bond ETF,fixed_income,broad,0,true,https://www.ishares.com/us/products/239458/ishares-core-total-us-bond-market-etf
464287242,LQD,iShares iBoxx Investment Grade Corporate Bond ETF,fixed_income,broad,0,true,https://www.ishares.com/us/products/239566/ishares-iboxx-investment-grade-corporate-bond-etf
464287432,TLT,iShares 20+ Year Treasury Bond ETF,fixed_income,broad,0,true,https://www.ishares.com/us/products/239454/ishares-20-year-treasury-bond-etf
464287440,IEF,iShares 7-10 Year Treasury Bond ETF,fixed_income,broad,0,true,https://www.ishares.com/us/products/239456/ishares-710-year-treasury-bond-etf
